title	originalTitle	sortingTitle	summary	platformList	criticsScore	developers	genres	publishers	releaseDate	originalReleaseDate	themes	gameMins	tags	dlcs	isHidden	osCompatibility	backgroundImage	squareIcon	verticalCover
10 Second Ninja X	10 Second Ninja X	10 Second Ninja 10	10 SECOND NINJA X is a blisteringly fast, satisfyingly difficult and surprisingly methodical sidescroller which tasks you with completing each level in ten seconds or less. No lengthy checkpoint gaps. No cluttered control scheme. No hand holding. Get that three star rating, yo! You got this.\n\n1 star. Again. 1 star. Again. 2 stars! Again. Back to 1 star. DAMN IT. Again...\n\n100 levels including all 40 original 10 Second Ninja levels remastered in HD. Individual leaderboards for each level. Unlockables and collectibles.	['Steam']	77	['Four Circle Interactive']	['Arcade', 'Fighting', 'Indie', 'Platform', 'Puzzle']	['Curve Digital']	2016-07-19	2016-07-19	['Action']				False	['Windows']	https://images.gog.com/640c97dd51fbb5eb6240d0d7e2765e223d46e1b9f92ce4d9f5db7992f4ced293_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/e1d3f3b75a1cf921a1493294840c1e821e5002e55943f987039f6a76cc2bd90c_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/4df641c4cada7d9a9d3e76ac76581e4733d84d0a7030fd9de9322c9bf8b423d3_glx_vertical_cover.webp?namespace=gamesdb
20XX	20XX	20XX	20XX is a co-op-friendly action platformer roguelite. Explore procedurally generated levels, collect new weapons and abilities, purchase upgrades, and crush ferocious bosses! If you are a fan of roguelikes or Mega Man, 20XX is for you!	['Epic Games Store']	75	['Batterystaple Games', 'Fire Hose Games']	['Arcade', 'Indie', 'Platform', 'Shooter']	['Batterystaple Games']	2017-08-16	2017-08-16	['Action', 'Science fiction']				False	['Windows']	https://images.gog.com/fa93fa634ab3b9ea798267dced057e114ddbfc28e4f9b487e16f7dcd19d3b07f_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/7363a91a9da27d1741c71f2062892d5e5ff3c6565172540d7142b86632bde188_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/4c4cc7022c36f2bfbc7b8fe89284506d2ef01998f0d139e7b16f0e97279d32c8_glx_vertical_cover.webp?namespace=gamesdb
33 Rounds	33 Rounds	33 Rounds	Welcome to 33 Rounds. Complete rounds, dodge many different obstacles and enemies, collect gold, improve stats of your ship. Complete all 33 rounds, defeat the boss and prove to everyone what you can do!	['IndieGala']		['Vlad Dunaev']	['Indie', 'Shooter']	['Red twice potato']	2019-12-06	2019-12-06	['Action']				False		https://images.gog.com/b5b695257b0143ff225d9e01124c83ca92d66a20d48019db7938b1a998d0af9d_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/ce7be9735630ca76c7352e5b5056451b7e258c057cc1b875bbead15c0696330e_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/ce7be9735630ca76c7352e5b5056451b7e258c057cc1b875bbead15c0696330e_glx_vertical_cover.webp?namespace=gamesdb
200% Mixed Juice!	200% Mixed Juice!	200 Mixed Juice	200% Mixed Juice! is the 10th Anniversary game of OrangeJuice, an old school RPG featuring a 200% mix of OrangeJuice characters.\n\nAt certain points in time and space, many fun worlds exist. Each world was created by a smart little fairy named Navi for the sake of the sleeping princess with nothing to do.\n\nA world where you're able to experience a lively school life.\nA world where you can see the skies crowded with airplanes.\nA world that has fallen to ruin from endless wars...\n\nIt's time for the sleeping princess to wake up and start her adventures in those worlds.\n\nFeatures:\n    - Over 80 characters to do battle with\n    - Cutting-edge graphics to amaze your friends and neighbors with\n    - A stunning digital soundtrack\n    - Online multiplayer	['Steam']		['Orange_Juice']	['Adventure', 'Indie', 'Role-playing (RPG)']	['Fruitbat Factory', 'Orange_Juice']	2014-08-21	2014-08-21	['Action', 'Comedy', 'Fantasy']				False	['Windows']	https://images.gog.com/c1032a7975f8f06c1cef9c3c08ec66c829479f1c95e77f5da630e703ddc2c943_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/ef0ffea0bc65eb8ca267d3a9cf20b1420a4b6f3f2abc1f4429c2f4e61315b0dc_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/379e7c009fa3abf98336d04bb03f9ddf73ac57011d0401135f3343d2ef0332b8_glx_vertical_cover.webp?namespace=gamesdb
2005) (Steam)	2005) (Steam)	2005 Steam		['Humble Bundle']					2022-04-03	2022-04-03			Key		False	['Linux', 'macOS', 'Windows']			
A Blind Legend	A Blind Legend	A Blind Legend	A Blind Legend is the first-ever action-adventure game without video – where ears replace eyes! Discover the original, innovative sensory experience of binaural 3D sound.	['Amazon']		['Dowino']	['Adventure', 'Indie']	['Plug In Digital']	2016-04-07	2016-04-07	['Action']				False	['Windows']	https://images.gog.com/a61beb6feca8b696f0ffb0e4cc1e0ef6c77160ea0f2a95f2002ebf26e38d59d4_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/e870db91762069b73fc0efdb2df468a6180cdc41ec5999d52508fdb954256d04_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/5ea2b0ab8ca08d1ef500b389dee0a467c814ebc8e4816920083a8bc97f7fa772_glx_vertical_cover.webp?namespace=gamesdb
A Hat in Time	A Hat in Time	A Hat in Time	A Hat in Time is a 3D collect-a-thon platformer in the spirit of the beloved Nintendo and Rare games from the Nintendo 64 era. Think Banjo-Kazooie, The Legend of Zelda and Super Mario 64 all in one! The game features Hat Kid, a girl who travels time and space to protect the world from the evil Mustache Girl!	['Humble Bundle', 'Steam']	80	['Gears for Breakfast']	['Adventure', 'Indie', 'Platform']	['Gears for Breakfast', 'Humble Bundle', 'Humble Games']	2017-10-05	2017-10-05	['Action', 'Fantasy']		Key		False	['Linux', 'macOS', 'Windows']	https://images.gog.com/34637baf3f99457a4b89c0f6ac4161c3f122ca0fc12fbf1d72d4310d6a3565d1_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/d7565e6350682c757219566ee9955ecf7abcac292a070c2524dce67508b62069_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/174fc7a0000d62650c36a983f669e23e2a98fac9982da9e33f1647807a246e79_glx_vertical_cover.webp?namespace=gamesdb
A KING'S TALE: FINAL FANTASY XV	A KING'S TALE: FINAL FANTASY XV	A KINGS TALE FINAL FANTASY 15	A prequel to Final Fantasy XV about the King as an adventurer.\n\nAvailable as a preorder bonus for Final Fantasy XV from some retailers.	['PlayStation Network']	60	['Empty Clip Studios']	"[""Hack and slash/Beat 'em up""]"	['Square Enix']	2016-09-30	2016-09-30	['Action', 'Fantasy', 'Science fiction']				False		https://images.gog.com/8278232aa43d428b65368a7f777643e7549fdc1d4ba117d785f72564a24fe743_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/542ca03924ac8af25fa2c18ee12ef3ee91a03615c0c0032b07e7d2b078d972f6_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/f91aa4a7fddac1021c0124b144b04caef07e9501dd949285ecab30a1d3f420be_glx_vertical_cover.webp?namespace=gamesdb
A Knight's Quest	A Knight's Quest	A Knights Quest	A gorgeous action adventure on an epic scale. Play as Rusty – a kind-hearted, but clumsy adventurer who accidentally starts a chain of events which will destroy his world. Solve mind-bending puzzles, fight challenging enemies, defeat huge bosses and platform your way through a fantastic open world in this lavish take on classic action adventure games.\nRusty begins his adventure with just a trusty sword and basic shield, but he’ll soon unlock ‘Spirit Powers’ – spectacular abilities which have the power to transform not only himself, but also the world around him. Harness the powers of Fire, Ice and Time to devastating effect, using them to conquer enemies in battle or solve environmental puzzles.	['Amazon']	80	['Sky 9 Games']	['Platform']	['Curve Digital']	2019-10-10	2019-10-10	['Action']				False	['Windows']	https://images.gog.com/f5245534eac9ab25352c4dbf2d4782f6e7d75dd19b9f10c261141984892e60d0_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/de8f597035f7056895667dcf31bccb729ba86cbfb39cce8bef2bbee4376a1f16_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/386cb48dc67a9e45daec70f7037e02df32de73d4240817947e37f7fc3baae07f_glx_vertical_cover.webp?namespace=gamesdb
A Maze In Opportunity	A Maze In Opportunity	A Maze In Opportunity	A Maze In Opportunity is a maze adventure game set in a remote and mysterious world ruled by a flourishing civilization. After the discovery of the first vestiges, hundreds of opportunists made the decision to leave everything to go in search of the wealth and knowledge lurking in the ruins. This is how the city of Opportunity came into being, and those who continue to plunge into the ruins in search of fortune and fame are called : Opportunity Hunters.	['IndieGala']					2022-04-03	2022-04-03					False				
A Memoir Blue	A Memoir Blue	A Memoir Blue	A Memoir Blue is an atmospheric journey through the memories of Miriam: a champion swimmer, who on the day of her greatest success dwells on her childhood memories of her mother and a special trip they took.\n\nExperience this personal story through a beautiful mixture of 3D animation and hand-drawn 2D. Interact and play with dreamlike objects in tactile ways that will surprise and delight players as they dig deeper into what was really happening that day.\n\nA gorgeously illustrated story of magical realism, A Memoir Blue shows that the past is a puzzle worth solving.	['Xbox Live']		['Cloisters Interactive']	['Adventure', 'Indie']	['Annapurna Interactive']	2022-03-24	2022-03-24					False	['Windows']	https://images.gog.com/9595dc89b36acc2655c3d51226a75ea26d0ba64a5115b2f869838a2d39970988_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/e2ed49e70699850632e027aaa51fa49cfd845f15f7eeca5e766ed9a1f3890086_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/c78ce7cd279f3505a96267185798f57ffff2e4c8cf9b14f5ffe165d0fa129a61_glx_vertical_cover.webp?namespace=gamesdb
A Normal Lost Phone	A Normal Lost Phone	A Normal Lost Phone	A Normal Lost Phone is a game about exploring the intimacy of an unknown person whose phone was found by the player.	['Amazon']	88	['Accidental Queens', 'Seaven Studio']	['Adventure', 'Card & Board Game', 'Indie', 'Puzzle']	['Plug In Digital']	2017-01-26	2017-01-26	['Mystery']				False	['Windows']	https://images.gog.com/448ce8c98f9129f799045de875763faed8cbaabffc1d44a891c2cbda8d8c0f98_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/aec530125da33dd4677a4434adfa3dc7cffc632b78654102a58fbe4a937dd6d7_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/7e98c54bb354be4c7fc2cf6bfe3a09038d14e173ffb39bceb133d2a9909aab74_glx_vertical_cover.webp?namespace=gamesdb
A Plague Tale - Innocence	A Plague Tale: Innocence	A Plague Tale Innocence	A Plague Tale: Innocence, on PlayStation 4, Xbox One and PC, tells the grim story of two siblings fighting together for survival in the darkest hours of History. This new video game from Asobo Studio sends you on an emotional journey through the 14th century France, with gameplay combining adventure, action and stealth, supported by a compelling story. Follow the young Amicia and her little brother Hugo, who face the brutality of a ravaged world as they discover their purpose to expose a dark secret. On the run from the Inquisition's soldiers, surrounded by unstoppable swarms of rats incarnating the Black Death, Amicia and Hugo will learn to know and trust each other as they struggle for their lives against all odds.	['Epic Games Store', 'Xbox Live']	81	['Asobo Studio']	['Adventure', 'Role-playing (RPG)']	['Focus Home Interactive']	2019-05-14	2019-05-14	['Action', 'Fantasy', 'Historical', 'Stealth']	10			False	['Windows', 'Xbox One']	https://images.gog.com/2ca4dee8e58745546bfd9305dc38e16e4fe699bca0bd3297fc835fdd0fc00e3b_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/eecd71f5b65bb9672434cb1f7249a4e5e251ee994339835eb4f6a9ac5fcd5ef7_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/d011a348d40d61f090cb1aae27f2113e0cd242dec6dec92d648f0221da95c9c8_glx_vertical_cover.webp?namespace=gamesdb
A Short Hike	A Short Hike	A Short Hike	Hike, climb, and soar through the peaceful mountainside landscapes of Hawk Peak Provincial Park as you make your way to the summit.	['Epic Games Store']	78	['adamgryu']	['Adventure', 'Indie', 'Platform']	['adamgryu', 'Whippoorwill']	2019-07-30	2019-07-30	['Fantasy']				False	['macOS', 'Windows']	https://images.gog.com/6cd02e02bc691cb846b8f6bea011ac7330cd34bc2076fd92f520aab08c5508d6_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/cd47889e20a77f77678ec48cc764c50871182cd5066ef776693296416022f9eb_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/7cffad16560764af2a9cfdb34df54b12bd3e042913e7219b9a8f7e647a053097_glx_vertical_cover.webp?namespace=gamesdb
A Story About My Uncle	A Story About My Uncle	A Story About My Uncle	A Story About My Uncle is a non-violent First-Person platform adventure game built in the Unreal Engine. It is a story about a boy who searches for his lost uncle and ends up in a world he couldn’t imagine existed.\n\nThe movement through the world in A Story About My Uncle is a crucial part of its core gameplay, focusing on swinging yourself through caverns with a grappling hook mechanic that gives the player a wonderful sense of speed and freedom. Soar through a game world with a unique art style and a mysterious story unraveling slowly before you.	['Humble Bundle', 'Steam']	69	['Gone North Games']	['Adventure', 'Indie', 'Platform', 'Puzzle']	['Coffee Stain Studios']	2014-05-28	2014-05-28	['Action', 'Fantasy', 'Science fiction']		Key		False	['Linux', 'macOS', 'Windows']	https://images.gog.com/0af31330492d67076ed0a67c63ab4311cbc708edfcced03f0f26553119d89fa4_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/d2377b0ceb26fb74262bcdf587d820eb36f6f11e735424ef26e1a3d86484d3b2_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/d2377b0ceb26fb74262bcdf587d820eb36f6f11e735424ef26e1a3d86484d3b2_glx_vertical_cover.webp?namespace=gamesdb
A Total War Saga: TROY	A Total War Saga: TROY	A Total War Saga TROY	A Total War Saga: Troy is the first in the award-winning strategy series to focus on the Bronze-Age Mediterranean and the legendary twenty-year conflict between the kingdoms of Troy and Mycenaean Greece, known as the Trojan War.	['Epic Games Store']	76	['Creative Assembly Sofia']	['Real Time Strategy (RTS)', 'Simulator', 'Strategy', 'Turn-based strategy (TBS)']	['Sega']	2020-08-13	2020-08-13	['Action', 'Historical']				False	['macOS', 'Windows']	https://images.gog.com/6fb7a07ce3c50676d249d0e924a9f9a1b23210f9f404453868358e0d07bbe80d_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/5a79539703a1b114b3cb4a91f2713f85616596adf8bed34b82bee61765b9cd71_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/7efafa2c62b5fc6883ff3fd583043d6239f058af4f66031ec00707cf3c5cfdea_glx_vertical_cover.webp?namespace=gamesdb
A Way Out	A Way Out	A Way Out	From the creators of Brothers: A Tale of Two Sons comes A Way Out, an exclusively co-op adventure where you play the role of one of two prisoners making their daring escape from prison. What begins as a thrilling breakout quickly turns into an unpredictable, emotional adventure unlike anything seen or played before. A Way Out is an experience that must be played with two players. Each player controls one of the main characters, Leo and Vincent, in a reluctant alliance to break out of prison and gain their freedom.	['Xbox Live']	75	['Hazelight Studios']	['Adventure', 'Indie']	['Electronic Arts']	2018-03-23	2018-03-23	['Action']				False		https://images.gog.com/7cbb3db990597ed706b9452f18e13da9bd7364016073048f0ce7e339ffcd76a3_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/01eff9f9069f026a31072c871c119156f01547353fc9b4199cd536833ed1516a_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/7cdb5ba1c8d3d79cb800d6b1e83fd348d27cc9e9322f6f8eb0a7264a4ae100ea_glx_vertical_cover.webp?namespace=gamesdb
Abandon Ship	Abandon Ship	Abandon Ship	Take command of an 'Age of Sail' ship and her crew, exploring a vast, story-filled world that reacts to your decisions. Engage enemy vessels, fortifications and sea monsters in brutal tactical combat, all framed in an art style inspired by classic Naval Oil Paintings.	['Amazon']	88	['Fireblade Software']	['Adventure', 'Indie', 'Role-playing (RPG)', 'Strategy', 'Tactical']	['Fireblade Software']	2019-10-22	2019-10-22	['Fantasy', 'Historical', 'Survival']				False	['Windows']	https://images.gog.com/e6a056ee6e152b5bd834e38092e369e8e1547dc9084df616c6080084133a9b69_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/12966f41ad2f91fc582b6f67cc622e9c8e80c4d1abe1f8abedf0349107d27563_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/32dd517fe3ca7fcf34a22d0ee5cb9277f18a211eae7950a562b565a0e870fd7f_glx_vertical_cover.webp?namespace=gamesdb
Absolute Drift	Absolute Drift	Absolute Drift	In Absolute Drift, you will master the art of drifting. Practice your skills in Free-Roam and compete in drift events such as Driftkhana and Mountain Drifting.	['Epic Games Store']	60	['Funselektor Labs']	['Arcade', 'Indie', 'Racing', 'Simulator', 'Sport']	['Funselektor Labs']	2015-07-29	2015-07-29	['Action', 'Open world']				False	['macOS', 'Windows']	https://images.gog.com/f9875e4f9f2125007f6a7969b5c101850e9c4d1c8fe069dc82c4bb60ebc413ad_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/8d3ae65ad3eeb135c284838f109c5988e27253315419a09ae781885c0a2a2a76_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/5610076c2e08b70452f744ea069f973244763dcaa5f1070998a4e1f5a5ece097_glx_vertical_cover.webp?namespace=gamesdb
ABZU	ABZU	ABZU	"ABZÛ is an exploration game where you are a lone diver in a lush ocean world. The diver descends deeper and deeper into the depths, where she will encounter majestic creatures, discover ancient secrets, and search for her true purpose. ABZÛ roughly translates to ""The Ocean of Wisdom"" from ancient Sumerian."	['Epic Games Store', 'PlayStation Network', 'Xbox Live']	81	['Giant Squid']	['Adventure', 'Indie', 'Puzzle', 'Simulator']	['505 Games']	2016-08-02	2016-08-02	['Action', 'Educational']	32	['Played']		False	['Windows', 'Xbox One']	https://images.gog.com/f29be3c4c40dc05d7d637d95ec3a913c8c81bd91b191fde57ac29c7f703e3dd6_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/7a4d9641a4ae91c72617db6c0df5574aad28e3374b8f07357a8193d2aab8e3ec_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/219bdb019df7bf4cde50813bf42abe77ae114e613276b0b5ecf2b112c2da0d39_glx_vertical_cover.webp?namespace=gamesdb
The Academy: First Riddle	The Academy: First Riddle	Academy First Riddle	The Academy is a puzzle-packed adventure set in a school filled with mystery. Leave your mark on Arbor's Academy and find out why it only welcomes the best and the brightest.	['Amazon']	80	['Pine Studio']	['Adventure', 'Puzzle']		2020-06-19	2020-06-19					False	['Windows']	https://images.gog.com/0b79d95671e2b34eea4f4421775617ac3fd5b3715f776ee5c1c351a0333fe076_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/a069bb28da91cf2a3de3c2cf8b1e3d4c758d23b5aae72ff73fbd11f794487342_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/a069bb28da91cf2a3de3c2cf8b1e3d4c758d23b5aae72ff73fbd11f794487342_glx_vertical_cover.webp?namespace=gamesdb
